1,one
2,two
|,the
|es,these
|n,than
|n,then
|nk,think
|o,though
|r,there
|rf,therefore
|ro,throw
|ru,through
|ruot,throughout
|s,this
|t,that
|t,thought
|tf,thoughtful
|y,they
a,a
a|r,author
a|r-t,authority
ab,able
ab-t,ability
abt,about
accdnt,accident
accpt,accept
accptnc,acceptance
aCev,achieve
aCevm,achievement
acount,account
acrd-g,according
acrs,across
acS,action
actul,actual
actull,actually
acurt,accurate
adenc,audience
adrs,address
adS,addition
adSl,additional
advisry,advisory
advntg,advantage
aft,after
aftnun,afternoon
agn,again
agre,agree
ahd,ahead
ajoin,adjoin
ajst,adjust
al,all
al|o,although
alfbt,alphabet
alng,along
alow,allow
alow,allow
alrdy,already
altrntv,alternative
alwas,always
am,am
ambSus,ambitious
amp,ample
amt,amount
an,an
ano|r,another
anouncm,announcement
ansr,answer
ap,appreciate
apl,application
apl,apply
aplcb,applicable
apld,applied
aplgy,apology
aply,apply
apndx,appendix
apoint,appoint
apointm,appointment
aprprat,appropriate
apruv,approve
apruvl,approval
ar,air
ara,array
arangm,arrangement
area,area
ariv,arrive
around,around
aft,after
asinm,assignment
ask,ask
asocats,associates
aspct,aspect
aSr,assure
asstnc,assistance
ast,asset
atan,attain
atC,attach
atmtcl,automatically
atnd,attend
atndnc,attendence
atnS,attention
ato,auto
atrct,attract
av,available
ave,avenue
avoid,avoid
awa,away
b,been
b,be
b,by
b ,been
bass,basis
bblogrfy,bibliography
bcs,because
bdy,body
bf,before
bgn,begin
bgn,began
bgt,budget
bk,book
bklt,booklet
bl,bill
bld,build
bld-g,building
blev,believe
blnc,balance
bnk,bank
bo|,both
bo|,both
bonus,bonus
bref,brief
brit,bright
brng,bring
broSr,brochure
brS,brush
bst,best
bt,but
btm,bottom
btwen,between
bus,business
butf,beautiful
by,buy
C,which
c,can
Cang,change
capb,capable
cd,could
Cef,chief
Cer,cheer
Cerf,cheerful
Cerfl,cheerfully
Ck,check
cke,cake
cl,call
clb,club
clcS,collection
clct,collect
Cldrn,children
cler,clear
clg,college
clo|,cloth
clo|-g,clothing
clos,close
cm,come
cm,comment
cmbin,combine
cmft,comfort
cmftb,confortable
cmnd,commend
cmp,complete
cmpl,completely
cmplm,complement
cmpS,completion
cmpus,campus
cmputr,computer
cmr,complete
cmte,committee
cmtm,commitment
cmun-t,community
Cnc,chance
cncluS,conclusion
cncluSs,conclusions
cncrn,concern
cncS,connection
cnct,connect
cnddat,candidate
cnde,candy
cndS,condition
cndSr,conditioner
cnfrm,confirm
cnfrnc,conference
cns,consider
cns,consideration
cns,consider
cnsb,considerable
cnsd,considered
cnstrcS,construction
cnstrct,construct
cnt,cannot
cntan,contain
cntnt,content
cntnts,contents
cntnu,continue
cntr,center
cntrct,contract
cntrl,central
cntry,country
cnv,convenience
cnv,convenient
cnvl,conveniently
cnvnS,convention
co,company
cohrnt,coherent
Coic,choice
cors,course
Cosn,chosen
cpes,copies
cptl,capital
Cptr,chapter
crct,corrrect
crdnSl,credential
crdt,credit
crdt,card
crf,careful
crfl,carefully
Crg,charge
Crgs,charges
crnr,corner
crnt,current
