able,jc
about,ab
above,bv
account,ac
across,nj
added,dd
affection,zw
afraid,iw
after,af
afterwards,ew
again,ag
against,aa
all,l
almost,ao
alone,ln
along,fj
already,dq
also,gx
altogether,zj
always,al
among,bb
and,n
angry,gy
another,ar
answer,nw
answered,nd
anything,ay
appearance,pc
appeared,ap
arms,jd
asked,ad
attention,ux
aunt,mx
away,aw
back,ba
bear,gk
beautiful,uf
beauty,yj
became,bm
because,bc
become,qp
been,bn
before,bf
began,ea
beginning,vz
behind,bd
being,bg
believe,bl
believed,zp
besides,lz
best,bs
better,br
between,bt
beyond,yd
black,bk
blood,sq
body,ku
book,qx
both,bo
bring,ix
broken,xg
brother,bh
brought,bu
business,bi
but,u
call,cl
called,cd
came,ca
can't,gb
cannot,ct
captain,xs
care,cj
carriage,zo
carried,np
carry,zr
case,hj
caught,yz
cause,vm
certain,cn
certainly,ty
chair,nx
chance,vu
change,kj
chapter,cp
character,cc
child,ch
children,ci
church,hc
circumstances,uc
clear,vj
close,cs
cold,jv
come,ce
comes,uw
comfort,cf
coming,cg
common,qb
company,cm
consider,zd
considered,zf
continued,nn
conversation,cv
corner,tx
could,co
country,cy
course,cu
creature,eu
cried,cr
dark,dk
daughter,au
days,da
dead,jb
deal,dl
dear,de
death,dh
deep,dp
desire,yp
didn't,vv
different,di
dinner,lb
distance,tc
doctor,dc
does,ds
doing,dg
don't,dt
done,oe
door,dr
doubt,du
down,dn
dress,zx
drew,dw
during,ui
duty,wp
each,ec
early,mj
earth,zy
easily,zb
easy,vf
effect,ff
either,dx
else,el
enough,eh
entered,jl
entirely,xb
even,en
evening,ei
ever,ev
every,ey
everybody,eb
everything,vg
exactly,xy
except,ex
exclaimed,xc
expect,xt
expected,xd
eyes,es
face,fa
fact,fc
fair,jx
fall,xe
family,fy
fancy,xm
father,fr
father's,yb
fear,gp
feel,fl
feeling,fg
feelings,tq
feet,kq
fell,gj
fellow,fw
felt,fe
figure,wx
find,fn
fine,gz
fire,ir
first,fi
five,fv
followed,lw
foot,uk
for,f
form,fm
former,sj
forth,zi
fortune,sz
forward,rw
found,fo
four,jh
free,zm
friend,fd
friends,fs
from,r
front,yt
full,fu
further,fh
gave,ga
general,nl
gentleman,gn
gentlemen,gm
getting,lq
girl,gl
give,gi
given,gv
giving,vn
glad,fp
glass,zc
going,gg
gone,ge
good,gd
grave,zn
great,gr
green,ze
grew,gw
ground,gu
had,d
hair,jj
half,az
hand,ha
hands,ns
handsome,nm
happened,lj
happiness,xj
happy,hy
hard,eq
hardly,rl
have,v
having,hg
he's,wq
head,hd
hear,er
heard,ed
heart,ht
heaven,yc
heavy,hv
held,hq
help,ep
her,e
here,hr
herself,ef
high,gh
him,m
himself,hf
his,i
hold,iq
home,om
honour,iz
hope,hp
horse,js
horses,wb
hour,hu
hours,jr
house,ho
however,hw
human,xl
hundred,mz
husband,hb
I'll,ll
I've,qz
idea,ia
immediately,iy
impossible,ip
indeed,id
instead,pq
interest,ka
into,io
it's,cz
itself,sf
just,ju
keep,ke
kept,kt
kind,ki
knew,kw
know,kn
knowing,rz
knowledge,kl
known,ko
knows,ks
ladies,qv
lady,ly
laid,kk
large,lr
last,la
late,jf
laugh,yv
laughed,lu
least,ls
leave,av
leaving,wz
left,lt
length,qj
less,bj
letter,et
life,lf
light,lh
like,le
likely,ik
lips,lp
little,li
live,iv
lived,vd
living,vi
long,lo
longer,jp
look,lk
looked,ld
looking,lg
looks,zt
lord,jy
lost,hz
love,lv
loved,qq
made,ma
make,mk
making,ai
manner,ae
many,mn
marriage,qw
married,jn
marry,qh
master,bp
matter,bx
mean,bq
means,dz
meant,qc
meet,pj
mentioned,zs
might,mi
miles,yx
mind,md
mine,gf
minute,xk
minutes,iu
miss,ss
moment,mm
money,ny
months,xf
more,mo
morning,mg
most,ms
mother,mh
mouth,qf
moved,mv
much,mu
must,mt
myself,mf
name,na
natural,ua
nature,nu
near,nr
nearly,xr
necessary,nc
need,ky
neither,nh
never,ne
news,yq
next,nt
night,ni
nobody,nb
none,ji
not,o
nothing,ng
notice,wj
object,oj
obliged,rj
observed,ob
occasion,qg
often,ft
once,oc
only,oy
open,op
opened,kh
opinion,jg
order,kx
other,ot
others,cx
ought,ou
over,ov
part,pa
particular,rq
party,vy
pass,rx
passed,pd
past,kv
people,pp
perfectly,pf
perhaps,pe
person,pn
piece,xu
place,pl
play,vb
pleasant,vx
please,jw
pleased,kz
pleasure,ps
point,pt
poor,po
possible,pi
pounds,xq
power,pw
presence,tj
present,pr
presently,uv
pretty,py
probably,pb
promise,pm
purpose,pu
putting,zq
question,qn
quiet,qt
quite,qu
rather,ra
reached,xx
read,dj
ready,dy
real,vh
really,ry
reason,rn
received,rc
regard,za
remained,qo
remember,rm
repeated,xz
replied,rp
resolved,rv
rest,rs
return,rr
returned,rt
right,ri
road,oa
room,ro
rose,mq
round,rd
said,c
sake,sx
same,sa
saying,yi
says,sy
scarcely,zu
school,xv
second,eo
secret,xh
seeing,ja
seem,qs
seemed,sd
seems,em
seen,aj
send,vp
sense,fq
sent,jm
service,vc
several,sv
shall,sl
she,s
shook,yk
short,cw
should,sh
show,sw
showed,xp
side,si
sight,gt
silence,ic
silent,qa
since,sc
sister,jk
sitting,lm
sleep,xa
small,sm
smile,ml
society,zv
some,se
something,sg
sometimes,oi
soon,sn
sorry,ox
sort,cb
soul,mc
sound,pz
speak,sp
speaking,pg
spirit,uj
spirits,vq
spoke,sk
stand,oz
standing,oq
state,gq
stay,jz
still,st
stood,od
stop,zh
stopped,tp
story,ql
strange,km
street,qm
strength,xo
strong,rg
struck,rk
subject,sb
such,su
sudden,zl
suddenly,uy
suppose,ue
supposed,uo
sure,sr
surprise,zk
table,tb
take,ta
taken,ak
taking,kg
talk,ej
talking,tz
tears,kr
tell,tl
than,tn
thank,nk
that,h
that's,db
the,t
their,tr
them,tm
themselves,tv
then,te
there,th
there's,lx
therefore,tf
these,ts
they,k
thing,hn
things,ig
think,tk
thinking,hk
this,j
those,hs
though,tu
thought,tt
thoughts,gs
thousand,xi
three,ee
through,tg
thus,fb
till,il
time,ti
times,im
together,og
told,td
tone,nz
took,oo
towards,tw
town,ow
tried,qd
trouble,rb
true,ru
truth,rh
turn,ez
turned,ud
turning,ug
twenty,wy
uncle,yw
under,ur
understand,ut
unless,zg
until,qe
upon,un
used,bz
usual,ul
very,ve
view,vw
visit,vt
voice,vo
wait,uz
waiting,ym
